movie_title,gross,total_gross,theaters
Hotel Transylvania 2,1229092,169700110,3768
Star Wars: Episode VIII - The Last Jedi,517218368,620181382,4232
Beauty and the Beast,504014165,504014165,4210
Wonder Woman,412563408,412563408,4165
Guardians of the Galaxy Vol. 2,389813101,389813101,4347
Spider-Man: Homecoming,334201140,334201140,4348
It,327481748,327481748,4148
Thor: Ragnarok,311225150,315058289,4080
Despicable Me 3,264624300,264624300,4535
Logan,226277068,226277068,4071
The Fate of the Furious,226008385,226008385,4329
Justice League,225546295,229024295,4051
Dunkirk,188045546,188045546,4014
Coco,179834199,209726015,3987
The Lego Batman Movie,175750384,175750384,4088
Get Out,175686870,176040665,3143
The Boss Baby,175003033,175003033,3829
Pirates of the Caribbean: Dead Men Tell No Tales,172558876,172558876,4276
Jumanji: Welcome to the Jungle,170863915,404515480,3849
Kong: Skull Island,168052812,168052812,3846
Hidden Figures,167620331,169607287,3416
Cars 3,152901115,152901115,4256
War for the Planet of the Apes,146880162,146880162,4100
Split,138291365,138291365,3373
Transformers: The Last Knight,130168683,130168683,4132
Rogue One: A Star Wars Story,123941474,532177324,4157
Wonder,121559294,132422809,3519
La La Land,120121532,151101803,3236
Sing,117541430,270395425,4029
Girls Trip,115171585,115171585,2648
Fifty Shades Darker,114581250,114581250,3714
Baby Driver,107825862,107825862,3226
Annabelle: Creation,102092201,102092201,3565
Daddys Home 2,101791381,104029443,3575
Murder on the Orient Express,100619624,102826543,3354
Kingsman: The Golden Circle,100225686,100229647,4038
John Wick: Chapter 2,92029184,92029184,3113
Blade Runner 2049,91654512,92054159,4058
The Emoji Movie,86089513,86089513,4075
Power Rangers,85364450,85364450,3693
The Mummy,80227895,80227895,4035
The Hitmans Bodyguard,75468583,75468583,3377
Alien: Covenant,74262031,74262031,3772
Captain Underpants: The First Epic Movie,73921000,73921000,3529
A Bad Moms Christmas,71891988,72110659,3615
A Dogs Purpose,64508620,64508620,3178
Pitch Perfect 3,63300605,104897530,3468
The Lego Ninjago Movie,59281555,59281555,4047
Baywatch,58060186,58060186,3647
The Shack,57386418,57386418,2888
Happy Death Day,55683845,55683845,3535
Ferdinand,53546717,84410380,3630
Atomic Blonde,51687870,51687870,3326
American Made,51342000,51342000,3098
The Dark Tower,50701325,50701325,3451
The Greatest Showman,49036718,174340174,3342
Boo 2! A Madea Halloween,47319572,47319572,2388
Lion,46435205,51738905,1802
Snatched,45852178,45852178,3511
The Great Wall,45540830,45540830,3328
Smurfs: The Lost Village,45020282,45020282,3610
Going in Style,45018541,45018541,3076
All Eyez on Me,44922302,44922302,2471
xXx: Return of Xander Cage,44898413,44898413,3651
Passengers,44634490,100014699,3478
47 Meters Down,44307191,44307191,2471
The Big Sick,42873127,42873127,2597
Moana,42279566,248757044,3875
Ghost in the Shell,40563557,40563557,3440
Valerian and the City of a Thousand Planets,40479370,41189488,3553
The Star,39963949,40852824,2976
King Arthur: Legend of the Sword,39175066,39175066,3702
Jigsaw,38052832,38052832,2941
American Assassin,36249674,36249674,3154
The Foreigner,34393507,34393507,2515
Everything Everything,34121140,34121140,2801
Wind River,33800859,33800859,2890
Geostorm,33578782,33700160,3246
Monster Trucks,33370166,33370166,3119
Fist Fight,32187017,32187017,3185
How to Be a Latin Lover,32149404,32149404,1203
Lady Bird,31432462,48958273,1557
Fences,31351933,57682904,2368
Patriots Day,31319806,31886361,3120
Kidnap,30971040,30971040,2418
Underworld: Blood Wars,30353973,30353973,3070
The Mountain Between Us,30348555,30348555,3259
Life,30234022,30234022,3146
Why Him?,29689870,60323786,3008
